Name	Length	EffectiveLength	TPM	NumReads
TRINITY_DN13081_c0_g1_i1	3132	2825.088	95.427108	14187.000
TRINITY_DN13098_c0_g1_i1	1067	760.088	0.600013	24.000
TRINITY_DN13006_c0_g1_i1	1191	884.088	5.674421	264.000
TRINITY_DN13093_c1_g1_i1	651	348.431	1.472518	27.000
TRINITY_DN13093_c0_g1_i1	1687	1380.088	6.609180	480.000
TRINITY_DN13001_c0_g1_i1	240	40.958	0.000000	0.000
TRINITY_DN13062_c0_g1_i3	585	285.450	0.931989	14.000
TRINITY_DN13065_c0_g1_i1	1646	1339.088	7.176987	505.753
TRINITY_DN13034_c0_g1_i1	1703	1396.088	10.957115	805.000
TRINITY_DN13089_c0_g1_i1	1242	935.088	44.870377	2208.000
TRINITY_DN13005_c0_g1_i1	1393	1086.088	8.485743	485.000
TRINITY_DN13054_c0_g1_i1	735	430.202	0.176685	4.000
TRINITY_DN13055_c0_g1_i3	1333	1026.088	1.240804	67.000
TRINITY_DN13017_c0_g1_i2	2763	2456.088	27.117976	3505.000
TRINITY_DN16105_c0_g1_i1	570	271.394	0.700184	10.000
TRINITY_DN16105_c3_g1_i1	241	41.294	1.380539	3.000
TRINITY_DN16105_c1_g1_i1	344	88.733	1.070774	5.000
TRINITY_DN16105_c2_g1_i1	208	27.035	0.000000	0.000
TRINITY_DN16105_c1_g5_i1	266	51.303	0.740806	2.000
TRINITY_DN16194_c0_g1_i4	1337	1030.088	1.402014	76.000
TRINITY_DN16189_c0_g1_i4	3805	3498.088	31.404032	5781.000
TRINITY_DN16189_c0_g2_i1	2568	2261.088	6.446011	767.000
TRINITY_DN16189_c3_g1_i1	260	48.975	0.000000	0.000
TRINITY_DN16189_c1_g1_i1	585	285.450	0.798848	12.000
TRINITY_DN16173_c0_g1_i1	681	377.483	0.503404	10.000
TRINITY_DN16172_c0_g1_i1	834	527.934	0.575909	16.000
TRINITY_DN16172_c0_g2_i1	405	127.876	0.148602	1.000
TRINITY_DN16116_c0_g1_i1	387	115.255	0.659500	4.000
TRINITY_DN16151_c0_g1_i1	289	61.191	0.931631	3.000
TRINITY_DN16153_c0_g1_i4	1122	815.088	2.867568	123.000
TRINITY_DN16184_c0_g1_i1	572	273.260	0.000000	0.000
TRINITY_DN16152_c0_g1_i1	1560	1253.088	4.973996	328.000
TRINITY_DN16132_c0_g1_i3	945	638.301	0.000000	0.000
TRINITY_DN16149_c0_g1_i1	869	562.669	3.917586	116.000
TRINITY_DN16102_c0_g1_i1	1348	1041.088	3.084696	169.000
TRINITY_DN16166_c0_g1_i1	702	397.923	0.000000	0.000
TRINITY_DN16169_c0_g1_i1	746	441.009	10.599866	246.000
TRINITY_DN16100_c0_g1_i2	374	106.718	0.000000	0.000
TRINITY_DN16124_c0_g1_i1	208	27.035	0.702885	1.000
TRINITY_DN16124_c0_g2_i1	249	44.268	0.429266	1.000
TRINITY_DN16193_c0_g1_i3	806	500.206	0.531853	14.000
TRINITY_DN16148_c0_g1_i2	1277	970.088	2.644452	135.000
TRINITY_DN16110_c0_g1_i1	1711	1404.088	9.419505	696.000
TRINITY_DN16125_c0_g1_i1	219	32.129	0.000000	0.000
TRINITY_DN16136_c0_g1_i1	2643	2336.088	4.018379	494.000
TRINITY_DN16140_c0_g1_i1	1349	1042.088	8.771095	481.000
TRINITY_DN16158_c0_g1_i1	769	463.664	1.557377	38.000
TRINITY_DN16185_c0_g1_i2	1445	1138.088	0.584393	35.000
TRINITY_DN16174_c0_g1_i1	250	44.655	0.000000	0.000
TRINITY_DN16174_c0_g2_i1	296	64.475	0.000000	0.000
TRINITY_DN16133_c0_g1_i2	1058	751.088	3.415007	134.980
TRINITY_DN16163_c0_g2_i1	218	31.666	0.600092	1.000
TRINITY_DN16101_c0_g1_i1	1179	872.088	6.166507	283.000
TRINITY_DN16168_c0_g1_i1	390	117.332	0.323912	2.000
TRINITY_DN16168_c0_g3_i1	275	54.618	1.391667	4.000
TRINITY_DN16103_c0_g1_i1	733	428.235	0.221871	5.000
TRINITY_DN16176_c0_g1_i1	1331	1024.088	5.269801	284.000
TRINITY_DN16171_c2_g1_i1	1912	1605.088	8.618778	728.000
TRINITY_DN16171_c0_g1_i1	543	246.284	644.726048	8356.000
TRINITY_DN16156_c0_g1_i2	455	168.022	1.130962	10.000
TRINITY_DN16164_c0_g1_i1	380	110.763	0.000000	0.000
TRINITY_DN16198_c0_g2_i1	1130	823.088	0.692609	30.000
TRINITY_DN16154_c0_g1_i1	1010	703.088	3.216254	119.000
TRINITY_DN16142_c0_g1_i1	435	151.278	0.125614	1.000
TRINITY_DN16180_c0_g1_i1	1023	716.088	2.361765	89.000
TRINITY_DN16111_c0_g2_i1	868	561.674	0.304489	9.000
TRINITY_DN16170_c0_g4_i1	843	536.852	0.070793	2.000
TRINITY_DN16170_c0_g1_i1	322	76.692	0.247779	1.000
TRINITY_DN16170_c0_g2_i1	326	78.608	0.241739	1.000
TRINITY_DN16170_c0_g3_i1	1072	765.088	0.049674	2.000
TRINITY_DN16147_c0_g1_i1	290	61.673	0.308117	1.000
TRINITY_DN16147_c0_g2_i1	250	44.655	0.425544	1.000
TRINITY_DN16187_c0_g1_i1	404	127.168	0.597717	4.000
TRINITY_DN16187_c0_g2_i1	260	48.975	0.776016	2.000
TRINITY_DN16131_c3_g1_i2	757	451.842	0.210279	5.000
TRINITY_DN16131_c0_g1_i1	1763	1456.088	0.378463	29.000
TRINITY_DN16118_c0_g1_i1	303	67.848	0.000000	0.000
TRINITY_DN16118_c0_g2_i1	445	159.648	0.000000	0.000
TRINITY_DN16121_c0_g1_i1	1293	986.088	0.443226	23.000
TRINITY_DN16179_c0_g1_i1	1544	1237.088	4.193486	273.000
TRINITY_DN16159_c0_g1_i1	1167	860.088	1.701222	77.000
TRINITY_DN16109_c0_g1_i12	1100	793.088	0.431285	18.000
TRINITY_DN16104_c0_g1_i2	607	306.257	0.496383	8.000
TRINITY_DN16143_c0_g1_i1	698	394.017	0.000000	0.000
TRINITY_DN16175_c2_g1_i1	645	342.645	0.000000	0.000
TRINITY_DN16175_c0_g1_i1	1107	800.088	0.261257	11.000
TRINITY_DN16175_c0_g3_i1	289	61.191	0.310544	1.000
TRINITY_DN16137_c0_g1_i1	1414	1107.088	0.617922	36.000
TRINITY_DN16155_c0_g1_i1	398	122.904	0.618452	4.000
TRINITY_DN16167_c0_g1_i4	3842	3535.088	1.064334	198.000
TRINITY_DN16129_c0_g1_i1	1436	1129.088	13.076947	777.000
TRINITY_DN17594_c0_g1_i1	2177	1870.088	14.195396	1397.000
TRINITY_DN17523_c0_g1_i1	1040	733.088	4.510309	174.000
TRINITY_DN17505_c0_g1_i1	299	65.901	3.188151	11.056
TRINITY_DN17546_c0_g1_i1	622	320.574	0.474215	8.000
TRINITY_DN17503_c0_g1_i1	263	50.178	0.000000	0.000
TRINITY_DN17503_c0_g2_i1	238	40.321	0.471283	1.000
TRINITY_DN17503_c0_g3_i1	234	38.632	0.000000	0.000
TRINITY_DN17562_c0_g1_i2	1245	938.088	0.263338	13.000
TRINITY_DN17507_c0_g1_i1	1035	728.088	0.000000	0.000
TRINITY_DN17507_c0_g2_i1	262	49.778	0.000000	0.000
TRINITY_DN17595_c0_g1_i2	878	571.607	4.587700	138.000
TRINITY_DN17589_c0_g1_i1	878	571.607	4.089037	123.000
TRINITY_DN17597_c0_g1_i2	1592	1285.088	0.340101	23.000
TRINITY_DN17580_c0_g1_i4	3135	2828.088	1.028044	153.000
TRINITY_DN17525_c0_g1_i1	506	212.441	0.000000	0.000
TRINITY_DN17525_c0_g2_i1	343	88.204	0.646316	3.000
TRINITY_DN17529_c0_g1_i3	883	576.580	0.065915	2.000
TRINITY_DN17584_c0_g1_i2	1370	1063.088	1.608742	90.000
TRINITY_DN17550_c0_g2_i1	257	47.559	0.000000	0.000
TRINITY_DN17569_c0_g1_i1	1124	817.088	4.069887	175.000
TRINITY_DN17535_c0_g1_i1	221	33.069	0.000000	0.000
TRINITY_DN17535_c0_g2_i1	251	45.036	0.000000	0.000
TRINITY_DN17524_c0_g1_i1	243	42.093	0.000000	0.000
TRINITY_DN17524_c0_g2_i1	274	54.183	0.350711	1.000
TRINITY_DN17552_c0_g1_i1	850	543.809	3.878732	111.000
TRINITY_DN17501_c0_g1_i2	748	442.976	0.257385	6.000
TRINITY_DN17501_c0_g2_i1	1504	1197.088	0.047622	3.000
TRINITY_DN17565_c0_g1_i1	371	104.832	0.000000	0.000
TRINITY_DN17565_c0_g2_i1	264	50.569	0.000000	0.000
TRINITY_DN17551_c0_g1_i1	1377	1070.088	3.072131	173.000
TRINITY_DN17590_c0_g1_i1	546	249.066	0.762955	10.000
TRINITY_DN17543_c0_g1_i2	1169	862.088	0.881701	40.000
TRINITY_DN17543_c0_g2_i1	210	27.868	0.000000	0.000
TRINITY_DN17544_c1_g1_i1	676	372.631	0.254979	5.000
TRINITY_DN17544_c0_g1_i1	1878	1571.088	31.015413	2564.277
TRINITY_DN17541_c0_g2_i1	872	565.652	0.436724	13.000
TRINITY_DN17522_c0_g1_i1	915	608.419	0.905751	29.000
TRINITY_DN17592_c0_g1_i1	1714	1407.088	0.297108	22.000
TRINITY_DN17504_c0_g1_i1	1939	1632.088	3.155287	271.000
TRINITY_DN17502_c0_g3_i1	262	49.778	0.000000	0.000
TRINITY_DN17571_c0_g1_i1	1814	1507.088	2.584809	205.000
TRINITY_DN17578_c0_g2_i1	268	52.072	0.364932	1.000
TRINITY_DN17542_c0_g1_i2	755	449.876	0.211198	5.000
TRINITY_DN17506_c0_g1_i2	204	25.185	0.754516	1.000
TRINITY_DN17561_c0_g1_i1	600	299.605	0.570829	9.000
TRINITY_DN17556_c1_g1_i3	579	279.808	1.629912	24.000
TRINITY_DN17556_c2_g1_i1	656	353.255	0.322757	6.000
TRINITY_DN17556_c0_g1_i2	431	148.051	3.850549	30.000
TRINITY_DN17556_c0_g2_i1	889	582.550	0.195718	6.000
TRINITY_DN17554_c0_g1_i1	1552	1245.088	2.228260	146.000
TRINITY_DN17558_c0_g1_i1	633	331.106	3.213914	56.000
TRINITY_DN17586_c0_g1_i2	524	228.812	0.083049	1.000
TRINITY_DN17583_c0_g1_i3	770	464.648	0.286277	7.000
TRINITY_DN17527_c0_g1_i4	1241	934.088	0.610305	30.000
TRINITY_DN17533_c0_g1_i1	346	89.621	0.424066	2.000
TRINITY_DN17533_c0_g2_i1	886	579.564	0.065576	2.000
TRINITY_DN17508_c0_g1_i4	1679	1372.088	2.118959	153.000
TRINITY_DN17547_c0_g1_i1	738	433.150	0.701932	16.000
TRINITY_DN17514_c0_g1_i1	1327	1020.088	15.368428	825.000
TRINITY_DN17560_c0_g1_i1	1394	1087.088	2.761885	158.000
TRINITY_DN17560_c0_g2_i1	267	51.680	0.000000	0.000
TRINITY_DN17585_c0_g1_i1	1052	745.088	3.902087	153.000
TRINITY_DN17596_c0_g1_i1	567	268.593	0.000000	0.000
TRINITY_DN17519_c0_g1_i3	704	399.875	0.617778	13.000
TRINITY_DN17587_c0_g1_i1	433	149.651	0.507918	4.000
TRINITY_DN17582_c0_g1_i1	297	64.905	0.000000	0.000
TRINITY_DN17536_c0_g1_i1	1424	1117.088	3.521244	207.000
TRINITY_DN6064_c1_g2_i1	323	77.162	0.246267	1.000
TRINITY_DN6058_c1_g1_i1	1563	1256.088	0.484109	32.000
TRINITY_DN6061_c0_g1_i1	459	171.376	4.767936	43.000
TRINITY_DN6088_c0_g1_i3	1691	1384.088	12.782009	931.000
TRINITY_DN6025_c0_g1_i1	1639	1332.088	1.825956	128.000
TRINITY_DN6019_c0_g1_i1	1728	1421.088	5.896995	441.000
TRINITY_DN6059_c0_g1_i4	1786	1479.088	7.477254	582.000
TRINITY_DN6067_c0_g1_i1	752	446.926	2.508591	59.000
TRINITY_DN6054_c0_g1_i1	744	439.047	1.601415	37.000
TRINITY_DN6060_c0_g1_i2	1445	1138.088	3.305997	198.000
TRINITY_DN6015_c0_g1_i5	853	546.783	0.764577	22.000
TRINITY_DN6016_c0_g1_i2	1266	959.088	2.971980	150.000
TRINITY_DN6089_c0_g1_i4	3405	3098.088	4.931460	804.000
TRINITY_DN6040_c0_g1_i1	1010	703.088	74.514397	2757.000
TRINITY_DN6017_c1_g1_i1	1033	726.088	1.360903	52.000
TRINITY_DN6017_c0_g1_i2	2945	2638.088	34.265498	4757.000
TRINITY_DN6028_c0_g1_i1	884	577.575	0.822517	25.000
TRINITY_DN6049_c0_g3_i2	1569	1262.088	0.481807	32.000
TRINITY_DN6080_c0_g1_i1	791	485.373	0.822161	21.000
TRINITY_DN6001_c0_g1_i1	1093	786.088	9.572759	396.000
TRINITY_DN6090_c0_g1_i1	1064	757.088	44.652184	1779.000
TRINITY_DN6045_c0_g1_i3	1741	1434.088	18.365408	1386.000
TRINITY_DN6068_c0_g1_i1	284	58.701	16.911755	52.242
TRINITY_DN6033_c2_g1_i1	639	336.876	0.338450	6.000
TRINITY_DN6033_c0_g2_i1	1113	806.088	0.400756	17.000
TRINITY_DN6046_c3_g1_i3	1208	901.088	2.530621	120.000
TRINITY_DN6046_c1_g1_i8	2097	1790.088	1.295086	122.000
TRINITY_DN6046_c0_g1_i3	3617	3310.088	59.773378	10412.000
TRINITY_DN6003_c0_g1_i1	775	469.581	7.903981	195.318
TRINITY_DN6003_c0_g2_i1	668	364.881	1.025001	19.682
TRINITY_DN6007_c0_g1_i3	2800	2493.088	20.815999	2731.000
TRINITY_DN6014_c0_g2_i12	1243	936.088	1.766703	87.030
TRINITY_DN6014_c1_g1_i1	795	489.317	2.524271	65.000
TRINITY_DN6014_c2_g1_i2	1769	1462.088	0.623851	48.000
TRINITY_DN6062_c0_g1_i1	1222	915.088	0.622976	30.000
TRINITY_DN6020_c1_g1_i1	206	26.217	0.000000	0.000
TRINITY_DN6020_c0_g1_i4	1175	868.088	0.963168	44.000
TRINITY_DN6020_c0_g2_i1	381	111.419	0.852757	5.000
TRINITY_DN6020_c0_g3_i1	392	118.702	0.160087	1.000
TRINITY_DN6031_c0_g1_i4	1706	1399.088	5.283451	389.000
TRINITY_DN6056_c1_g1_i2	971	664.228	7.581266	265.000
TRINITY_DN6056_c0_g1_i1	770	464.648	8.547423	209.000
TRINITY_DN6029_c0_g1_i2	1134	827.088	67.294687	2929.000
TRINITY_DN6041_c0_g1_i1	1216	909.088	0.397156	19.000
TRINITY_DN6095_c0_g1_i1	1533	1226.088	5.393501	348.000
TRINITY_DN6038_c0_g1_i2	1611	1304.088	49.528755	3399.000
TRINITY_DN6036_c1_g1_i1	1044	737.088	5.078787	197.000
TRINITY_DN6036_c0_g1_i7	2291	1984.088	2.873250	300.000
TRINITY_DN6091_c0_g1_i6	1558	1251.088	7.078011	466.000
TRINITY_DN6006_c0_g1_i1	2238	1931.088	2.706100	275.000
TRINITY_DN6006_c0_g2_i1	1767	1449.088	5.101149	389.000
TRINITY_DN6018_c0_g1_i1	948	641.291	69.653797	2350.642
TRINITY_DN6035_c0_g1_i2	297	64.905	5.269934	18.000
TRINITY_DN6051_c1_g1_i1	355	94.356	44.750600	222.207
TRINITY_DN6051_c2_g1_i2	2983	2676.088	63.669195	8966.368
TRINITY_DN6051_c0_g1_i3	1529	1222.088	103.334657	6645.617
TRINITY_DN6000_c0_g1_i2	6249	5942.088	7.956544	2488.000
TRINITY_DN6065_c0_g1_i1	1284	977.088	4.667579	240.001
TRINITY_DN6034_c0_g1_i3	2092	1785.088	3.800334	357.000
TRINITY_DN6002_c0_g1_i1	581	281.685	1.011907	15.000
TRINITY_DN6078_c0_g1_i1	1711	1404.088	2.002998	148.000
TRINITY_DN6013_c0_g1_i2	905	598.458	37.563375	1183.000
TRINITY_DN6076_c0_g1_i2	1524	1217.088	17.283782	1107.000
TRINITY_DN6071_c0_g1_i4	491	198.954	0.382050	4.000
TRINITY_DN6099_c0_g2_i1	3451	3144.088	14.049195	2324.518
TRINITY_DN6099_c4_g1_i1	801	495.251	6.944904	181.000
TRINITY_DN6099_c1_g1_i5	3374	3067.088	7.893259	1274.000
TRINITY_DN6084_c1_g1_i2	1247	940.088	1.152178	57.000
TRINITY_DN6021_c1_g1_i2	782	476.488	1.116655	28.000
TRINITY_DN6021_c0_g1_i1	541	244.430	4.042606	52.000
TRINITY_DN6053_c1_g1_i1	628	326.318	0.349400	6.000
TRINITY_DN6053_c2_g1_i1	1118	811.088	7.614274	325.000
TRINITY_DN6053_c0_g1_i1	874	567.637	0.435197	13.000
TRINITY_DN6008_c0_g1_i4	4441	4134.088	1.829433	398.000
TRINITY_DN6066_c0_g1_i1	1845	1538.088	1.569046	127.000
TRINITY_DN6085_c0_g1_i1	1804	1497.088	2.500530	197.000
TRINITY_DN6004_c0_g1_i1	1860	1553.088	2.031071	166.000
TRINITY_DN6073_c0_g1_i2	1714	1407.088	1.958213	145.000
TRINITY_DN6044_c0_g1_i2	3774	3467.088	10.106697	1844.000
TRINITY_DN6010_c0_g1_i2	948	641.291	0.918587	31.000
TRINITY_DN6052_c0_g1_i1	3397	3090.088	37.899589	6163.000
TRINITY_DN6079_c0_g1_i1	473	183.348	1.554634	15.000
TRINITY_DN6079_c0_g2_i1	464	175.617	0.108205	1.000
TRINITY_DN6057_c0_g1_i1	2298	1991.088	2.824974	296.000
TRINITY_DN6093_c0_g1_i1	2165	1858.088	2.137436	209.000
TRINITY_DN6043_c0_g1_i2	816	510.102	20.339899	546.000
TRINITY_DN6094_c2_g2_i1	1016	709.088	3.376630	126.000
TRINITY_DN6094_c2_g1_i1	2404	2097.088	4.231686	467.000
TRINITY_DN6087_c0_g1_i1	1383	1076.088	1.995464	113.000
TRINITY_DN6037_c0_g1_i2	1096	789.088	5.370226	223.000
TRINITY_DN6009_c1_g1_i3	696	392.063	0.775492	16.000
TRINITY_DN6096_c0_g1_i3	2484	2177.088	2.103557	241.000
TRINITY_DN6092_c0_g4_i5	1821	1514.088	0.439269	35.000
TRINITY_DN6092_c0_g5_i2	916	609.414	0.093545	3.000
TRINITY_DN6092_c0_g6_i1	1952	1645.088	0.323431	28.000
TRINITY_DN6092_c0_g1_i1	857	550.751	3.519317	102.000
TRINITY_DN6092_c1_g1_i1	1515	1208.088	11.340961	721.000
TRINITY_DN6092_c2_g1_i1	406	128.603	0.295524	2.000
TRINITY_DN6081_c3_g1_i1	247	43.375	0.876203	2.000
TRINITY_DN6081_c1_g1_i1	1013	706.088	2.583601	96.000
TRINITY_DN6081_c2_g1_i1	1157	850.088	0.916501	41.000
TRINITY_DN6081_c0_g1_i1	1737	1430.088	1.674252	126.000
TRINITY_DN6082_c0_g1_i1	2153	1846.088	3.530652	343.000
TRINITY_DN6023_c0_g1_i1	1920	1613.088	2.049766	174.000
TRINITY_DN6070_c0_g1_i1	755	449.876	1.055991	25.000
TRINITY_DN6050_c0_g1_i2	1129	822.088	17.359402	751.000
TRINITY_DN6005_c0_g1_i3	1369	1062.088	4.794987	268.000
TRINITY_DN6012_c0_g1_i1	384	113.344	7.712090	46.000
TRINITY_DN6047_c0_g1_i3	1678	1371.088	2.162083	156.000
TRINITY_DN6032_c0_g1_i3	1894	1587.088	43.498827	3633.000
TRINITY_DN6074_c0_g1_i1	1345	1038.088	63.281731	3457.000
TRINITY_DN6083_c0_g1_i2	1248	941.088	9.288396	460.000
TRINITY_DN6042_c1_g2_i1	847	540.831	1.616254	46.000
TRINITY_DN6042_c0_g1_i9	1422	1115.088	1.465556	86.000
TRINITY_DN6077_c0_g1_i1	1613	1306.088	2.051445	141.000
TRINITY_DN44516_c0_g1_i1	413	133.914	0.141902	1.000
TRINITY_DN44564_c0_g1_i1	622	320.574	0.889153	15.000
TRINITY_DN44552_c0_g1_i1	213	29.282	1.297898	2.000
TRINITY_DN44521_c0_g1_i1	778	472.534	0.884714	22.000
TRINITY_DN44587_c0_g1_i1	227	35.528	0.000000	0.000
TRINITY_DN44535_c0_g1_i1	286	59.665	0.000000	0.000
TRINITY_DN44577_c0_g1_i1	256	47.102	0.000000	0.000
TRINITY_DN44575_c0_g1_i1	392	118.702	0.800435	5.000
TRINITY_DN44573_c0_g1_i1	357	95.652	0.000000	0.000
TRINITY_DN44574_c0_g1_i1	645	342.645	0.055459	1.000
TRINITY_DN44510_c0_g1_i1	336	84.166	0.000000	0.000
TRINITY_DN44578_c0_g1_i1	255	46.683	0.814117	2.000
TRINITY_DN44596_c0_g1_i1	445	159.648	0.833197	7.000
TRINITY_DN44557_c0_g1_i1	215	30.207	0.000000	0.000
TRINITY_DN44567_c0_g1_i1	226	35.082	1.624987	3.000
TRINITY_DN44539_c0_g1_i1	278	55.934	1.019207	3.000
TRINITY_DN44543_c0_g1_i1	204	25.185	0.754516	1.000
TRINITY_DN44571_c0_g1_i1	205	25.714	0.739005	1.000
TRINITY_DN44508_c0_g1_i1	213	29.282	0.000000	0.000
TRINITY_DN44504_c0_g1_i1	364	100.119	0.759203	4.000
TRINITY_DN44533_c0_g1_i1	269	52.472	0.724294	2.000
TRINITY_DN44583_c0_g1_i1	291	62.143	0.000000	0.000
TRINITY_DN44511_c0_g1_i1	543	246.284	1.003044	13.000
TRINITY_DN44509_c0_g1_i1	325	78.106	0.729874	3.000
TRINITY_DN44590_c0_g1_i1	290	61.673	0.616234	2.000
TRINITY_DN44597_c0_g1_i1	566	267.659	0.283982	4.000
TRINITY_DN44561_c0_g1_i1	220	32.593	0.000000	0.000
TRINITY_DN44531_c0_g1_i1	353	93.192	0.000000	0.000
TRINITY_DN44503_c0_g1_i1	283	58.233	0.000000	0.000
TRINITY_DN44501_c0_g1_i1	372	105.480	0.720613	4.000
TRINITY_DN44502_c0_g1_i1	367	102.085	2.233739	12.000
TRINITY_DN44554_c0_g1_i1	368	102.790	1.109208	6.000
TRINITY_DN44592_c0_g1_i1	364	100.119	0.189801	1.000
TRINITY_DN44547_c0_g1_i1	243	42.093	1.805777	4.000
TRINITY_DN44593_c0_g1_i1	210	27.868	0.000000	0.000
TRINITY_DN44537_c0_g1_i1	325	78.106	1.216456	5.000
TRINITY_DN20290_c0_g1_i1	1056	749.088	2.815809	111.000
TRINITY_DN20216_c0_g1_i1	1437	1130.088	3.312586	197.000
