"","KO","trinity","path"
"209","K01135","TRINITY_DN9843_c2_g1_i2","ko00531"
"211","K01135","TRINITY_DN9843_c0_g2_i1","ko00531"
"213","K08740","TRINITY_DN9865_c0_g2_i1","NA"
"215","K13026","TRINITY_DN5316_c0_g1_i5","NA"
"217","K13412","TRINITY_DN9859_c0_g1_i1","ko04626"
"228","K08853","TRINITY_DN9811_c0_g1_i2","NA"
"229","K06201","TRINITY_DN9851_c0_g2_i5","NA"
"236","K22207","TRINITY_DN9862_c1_g1_i2","ko00270"
"240","K19613","TRINITY_DN9852_c0_g1_i4","ko04014"
"241","K20293","TRINITY_DN9870_c0_g1_i1","NA"
"249","K03509","TRINITY_DN9821_c0_g1_i3","ko01524"
"255","K00703","TRINITY_DN9889_c0_g1_i4","ko00500"
"260","K10413","TRINITY_DN29859_c0_g1_i1","ko04145"
"271","K19674","TRINITY_DN29855_c0_g1_i1","NA"
"280","K21916","TRINITY_DN29861_c0_g1_i1","NA"
"281","K01093","TRINITY_DN29804_c0_g1_i1","ko00562"
"282","K23355","TRINITY_DN29847_c0_g1_i1","NA"
"284","K07407","TRINITY_DN29882_c0_g1_i2","ko00052"
"285","K06677","TRINITY_DN29811_c0_g1_i1","ko04111"
"287","K07179","TRINITY_DN16172_c0_g1_i1","ko03008"
"290","K03857","TRINITY_DN29812_c0_g1_i1","ko00563"
"293","K08582","TRINITY_DN29878_c0_g1_i1","NA"
"295","K18443","TRINITY_DN29835_c0_g1_i1","ko04144"
"299","K15255","TRINITY_DN29860_c0_g2_i1","NA"
"300","K08815","TRINITY_DN38587_c0_g1_i1","NA"
"306","K14437","TRINITY_DN38563_c0_g1_i1","NA"
"308","K06001","TRINITY_DN38554_c0_g1_i1","ko00260"
"309","K06617","TRINITY_DN38530_c0_g1_i1","ko00052"
"310","K09658","TRINITY_DN38590_c0_g1_i1","ko00510"
"311","K06874","TRINITY_DN38521_c0_g1_i1","NA"
"312","K06678","TRINITY_DN38581_c0_g1_i1","ko04111"
"320","K03932","TRINITY_DN7066_c0_g1_i7","NA"
"333","K12661","TRINITY_DN7098_c0_g1_i4","ko00051"
"335","K11262","TRINITY_DN7033_c0_g1_i2","ko00061"
"336","K11262","TRINITY_DN7033_c0_g2_i1","ko00061"
"337","K02183","TRINITY_DN7068_c0_g1_i2","ko04014"
"339","K12180","TRINITY_DN5311_c0_g1_i1","NA"
"342","K13378","TRINITY_DN7088_c1_g1_i1","ko00190"
"343","K21814","TRINITY_DN7088_c0_g1_i3","NA"
"344","K09858","TRINITY_DN7035_c0_g1_i1","NA"
"346","K12823","TRINITY_DN7043_c1_g3_i2","ko03040"
"347","K06177","TRINITY_DN7043_c1_g2_i2","NA"
"348","K12823","TRINITY_DN7043_c1_g1_i1","ko03040"
"349","K13178","TRINITY_DN7043_c2_g1_i1","NA"
"351","K17609","TRINITY_DN7091_c0_g1_i1","NA"
"355","K20791","TRINITY_DN7070_c0_g1_i1","NA"
"359","K20069","TRINITY_DN7055_c0_g1_i1","NA"
"362","K01966","TRINITY_DN7092_c0_g1_i2","ko00280"
"363","K11271","TRINITY_DN7060_c0_g1_i2","NA"
"365","K00797","TRINITY_DN7082_c0_g1_i3","ko00270"
"369","K09592","TRINITY_DN7063_c0_g1_i1","ko04066"
"370","K14806","TRINITY_DN7049_c1_g1_i1","NA"
"378","K12460","TRINITY_DN7010_c0_g1_i2","ko04722"
"379","K07179","TRINITY_DN16172_c0_g2_i1","ko03008"
"386","K14724","TRINITY_DN7064_c0_g1_i4","NA"
"387","K10960","TRINITY_DN7025_c0_g1_i1","ko00860"
"389","K16743","TRINITY_DN46355_c0_g1_i1","NA"
"390","K12603","TRINITY_DN7040_c0_g1_i9","ko03018"
"395","K04977","TRINITY_DN7014_c0_g3_i2","ko04621"
"398","K07056","TRINITY_DN7056_c0_g1_i4","NA"
"403","K15303","TRINITY_DN7084_c0_g2_i7","ko00980"
"405","K05038","TRINITY_DN7051_c0_g1_i1","ko04721"
"407","K14004","TRINITY_DN46319_c0_g1_i1","ko03013"
"412","K06195","TRINITY_DN7045_c0_g1_i1","NA"
"416","K10358","TRINITY_DN7085_c1_g2_i1","NA"
"419","K00558","TRINITY_DN7085_c2_g1_i5","ko00270"
"422","K22733","TRINITY_DN7097_c0_g1_i2","NA"
"426","K03447","TRINITY_DN7089_c0_g1_i1","NA"
"428","K06642","TRINITY_DN7038_c1_g1_i2","ko03450"
"437","K09420","TRINITY_DN35279_c0_g1_i1","ko04151"
"442","K13248","TRINITY_DN35247_c0_g1_i1","ko00750"
"447","K00626","TRINITY_DN35266_c0_g1_i1","ko00071"
"450","K03217","TRINITY_DN35268_c0_g1_i1","ko02024"
"456","K11251","TRINITY_DN35225_c0_g1_i1","ko04217"
"468","K17435","TRINITY_DN35280_c0_g1_i1","NA"
"476","K12375","TRINITY_DN35245_c0_g1_i1","NA"
"477","K09506","TRINITY_DN35285_c0_g1_i1","NA"
"486","K10357","TRINITY_DN43356_c0_g1_i1","NA"
"487","K06252","TRINITY_DN46388_c0_g1_i1","ko04151"
"491","K02262","TRINITY_DN43344_c0_g1_i1","ko00190"
"505","K03031","TRINITY_DN46391_c0_g1_i1","ko03050"
"520","K05609","TRINITY_DN30307_c0_g1_i1","NA"
"523","K08857","TRINITY_DN46356_c0_g1_i1","NA"
"527","K10408","TRINITY_DN30377_c0_g1_i1","ko05016"
"530","K08202","TRINITY_DN46311_c0_g1_i1","ko05231"
"540","K02728","TRINITY_DN46341_c0_g1_i1","ko03050"
"544","K19785","TRINITY_DN40170_c0_g2_i1","ko00760"
"552","K01803","TRINITY_DN40187_c0_g1_i1","ko00010"
"554","K20607","TRINITY_DN40139_c0_g1_i1","ko04016"
"563","K13751","TRINITY_DN40198_c0_g1_i1","NA"
"569","K03686","TRINITY_DN40135_c0_g1_i1","NA"
"570","K17710","TRINITY_DN40174_c0_g1_i1","NA"
"572","K03037","TRINITY_DN40176_c0_g1_i1","ko03050"
"573","K12873","TRINITY_DN40116_c0_g2_i1","ko03040"
"583","K04567","TRINITY_DN40124_c0_g1_i1","ko00970"
"584","K13116","TRINITY_DN40155_c0_g1_i1","NA"
"587","K03350","TRINITY_DN7125_c1_g2_i1","ko04110"
"591","K22372","TRINITY_DN7125_c0_g2_i1","NA"
"593","K08857","TRINITY_DN7174_c0_g1_i3","NA"
"601","K01867","TRINITY_DN7171_c0_g1_i4","ko00970"
"603","K01126","TRINITY_DN7179_c0_g1_i6","ko00564"
"613","K22132","TRINITY_DN7120_c0_g1_i1","NA"
"614","K11847","TRINITY_DN7156_c0_g1_i1","NA"
"616","K20221","TRINITY_DN7148_c0_g1_i3","NA"
"624","K00648","TRINITY_DN7153_c1_g1_i4","ko00061"
"625","K11340","TRINITY_DN7153_c0_g1_i2","ko04714"
"627","K12035","TRINITY_DN7130_c0_g1_i1","ko05206"
"630","K01510","TRINITY_DN7155_c0_g1_i4","ko00230"
"631","K10380","TRINITY_DN7103_c0_g1_i2","ko04624"
"633","K18655","TRINITY_DN7144_c0_g1_i2","NA"
"637","K03426","TRINITY_DN7128_c0_g1_i1","ko00760"
"639","K09592","TRINITY_DN16153_c0_g1_i4","ko04066"
"642","K19370","TRINITY_DN7167_c0_g1_i3","NA"
"644","K04078","TRINITY_DN7197_c0_g1_i1","NA"
"650","K03844","TRINITY_DN7111_c0_g1_i1","ko00510"
"655","K17586","TRINITY_DN7159_c0_g1_i1","NA"
"657","K00231","TRINITY_DN7169_c0_g2_i1","ko00860"
"658","K02324","TRINITY_DN7169_c0_g3_i3","ko03030"
"670","K01480","TRINITY_DN7151_c0_g1_i1","ko00330"
"672","K19668","TRINITY_DN7112_c0_g1_i1","ko00500"
"681","K08515","TRINITY_DN7129_c0_g1_i3","ko04130"
"682","K08515","TRINITY_DN7129_c0_g2_i1","ko04130"
"683","K08515","TRINITY_DN7129_c0_g3_i1","ko04130"
"685","K05719","TRINITY_DN7129_c1_g1_i4","ko04015"
"689","K05546","TRINITY_DN44967_c0_g1_i1","ko00510"
"693","K12946","TRINITY_DN44980_c0_g1_i1","ko03060"
"694","K03735","TRINITY_DN44978_c0_g1_i1","ko00564"
"696","K02604","TRINITY_DN44998_c0_g1_i1","ko04110"
"702","K03530","TRINITY_DN4541_c0_g1_i1","NA"
"710","K15283","TRINITY_DN4525_c0_g1_i5","NA"
"724","K20784","TRINITY_DN4521_c0_g2_i1","ko00514"
"727","K00653","TRINITY_DN4521_c1_g1_i1","NA"
"734","K02941","TRINITY_DN4583_c0_g1_i1","ko03010"
"738","K01488","TRINITY_DN4586_c0_g1_i2","ko00230"
"741","K01201","TRINITY_DN4532_c0_g1_i4","ko00511"
"747","K23025","TRINITY_DN4535_c0_g1_i4","NA"
"748","K23025","TRINITY_DN4535_c0_g2_i1","NA"
"751","K04368","TRINITY_DN35950_c0_g1_i1","ko01521"
"752","K10396","TRINITY_DN4536_c4_g1_i1","ko04144"
"756","K13989","TRINITY_DN4551_c0_g1_i3","ko04141"
"760","K10380","TRINITY_DN35955_c0_g1_i1","ko04624"
"766","K03353","TRINITY_DN4571_c0_g1_i1","ko04110"
"767","K09500","TRINITY_DN4503_c0_g1_i1","NA"
"769","K01094","TRINITY_DN4590_c0_g1_i2","ko00564"
"774","K16606","TRINITY_DN4576_c0_g4_i2","NA"
"775","K15111","TRINITY_DN4576_c0_g5_i1","NA"
"776","K01358","TRINITY_DN4576_c0_g6_i1","ko04112"
"778","K07611","TRINITY_DN4576_c0_g1_i1","ko04210"
"784","K08869","TRINITY_DN4554_c0_g2_i3","NA"
"786","K01057","TRINITY_DN4582_c1_g1_i1","ko00030"
"794","K16726","TRINITY_DN4594_c0_g1_i1","NA"
"797","K08490","TRINITY_DN4573_c0_g2_i8","ko04130"
"800","K14773","TRINITY_DN4573_c2_g1_i2","NA"
"810","K06943","TRINITY_DN4553_c0_g2_i4","ko03008"
"816","K20784","TRINITY_DN4589_c0_g1_i3","ko00514"
"817","K20784","TRINITY_DN4589_c0_g3_i1","ko00514"
"821","K18208","TRINITY_DN4587_c0_g1_i3","NA"
"824","K14787","TRINITY_DN35981_c0_g1_i1","NA"
"827","K17893","TRINITY_DN4517_c0_g3_i1","NA"
"831","K18730","TRINITY_DN4597_c0_g1_i2","NA"
"835","K21767","TRINITY_DN4599_c0_g5_i1","NA"
"836","K11420","TRINITY_DN4599_c0_g6_i1","ko00310"
"841","K11858","TRINITY_DN4599_c4_g1_i1","NA"
"845","K13917","TRINITY_DN4544_c0_g1_i1","ko03015"
"846","K04445","TRINITY_DN4529_c0_g1_i3","ko04010"
"858","K09553","TRINITY_DN4585_c0_g1_i1","ko05020"
"866","K03675","TRINITY_DN4523_c4_g1_i1","NA"
"872","K03262","TRINITY_DN35999_c0_g1_i1","ko03013"
"877","K02876","TRINITY_DN5173_c0_g1_i3","ko03010"
"880","K14959","TRINITY_DN5122_c0_g1_i1","ko00310"
"893","K00213","TRINITY_DN5189_c0_g1_i2","ko00100"
"894","K10870","TRINITY_DN5138_c0_g1_i1","ko03440"
"898","K14726","TRINITY_DN5156_c0_g2_i1","NA"
"899","K16745","TRINITY_DN5156_c0_g3_i1","NA"
"901","K01227","TRINITY_DN5177_c0_g1_i1","ko00511"
"905","K14005","TRINITY_DN5187_c0_g1_i1","ko04141"
"910","K06176","TRINITY_DN5178_c1_g2_i1","NA"
"911","K10297","TRINITY_DN5178_c1_g1_i1","NA"
"924","K15085","TRINITY_DN5191_c0_g1_i2","NA"
"926","K17562","TRINITY_DN5190_c0_g1_i1","NA"
"934","K10408","TRINITY_DN35905_c0_g1_i1","ko05016"
"935","K00472","TRINITY_DN5123_c0_g2_i1","ko00330"
"943","K22721","TRINITY_DN5149_c0_g1_i1","NA"
"950","K02863","TRINITY_DN5166_c0_g1_i2","ko03010"
"951","K22736","TRINITY_DN5147_c0_g1_i2","NA"
"955","K15503","TRINITY_DN5158_c1_g1_i1","NA"
"961","K03524","TRINITY_DN5186_c2_g1_i1","ko00780"
"967","K12619","TRINITY_DN5160_c0_g5_i1","ko03008"
"968","K00558","TRINITY_DN5160_c5_g1_i1","ko00270"
"974","K22503","TRINITY_DN5160_c4_g1_i1","ko00970"
"977","K12828","TRINITY_DN5160_c1_g1_i1","ko03040"
"979","K12891","TRINITY_DN5160_c6_g1_i2","ko03040"
"982","K15040","TRINITY_DN5184_c0_g1_i3","ko04020"
"983","K11593","TRINITY_DN35919_c0_g1_i1","NA"
"989","K20131","TRINITY_DN5118_c0_g1_i1","NA"
"994","K06640","TRINITY_DN5154_c0_g1_i1","ko03460"
"999","K09560","TRINITY_DN5142_c0_g2_i2","NA"
"1003","K01228","TRINITY_DN5142_c7_g1_i1","ko00510"
"1006","K15186","TRINITY_DN5142_c9_g1_i1","NA"
"1013","K06118","TRINITY_DN5155_c0_g1_i1","ko00520"
"1016","K02216","TRINITY_DN5161_c0_g1_i1","ko04110"
"1021","K03100","TRINITY_DN5113_c0_g1_i5","ko03060"
"1022","K03513","TRINITY_DN5195_c1_g1_i1","ko03450"
"1029","K03354","TRINITY_DN5125_c0_g2_i1","ko04110"
"1030","K17759","TRINITY_DN5117_c0_g1_i1","NA"
"1035","K16474","TRINITY_DN8938_c0_g1_i1","NA"
"1036","K02183","TRINITY_DN8982_c0_g1_i1","ko04014"
"1038","K10582","TRINITY_DN8940_c0_g1_i1","ko04120"
"1043","K09669","TRINITY_DN8900_c0_g1_i1","NA"
"1044","K10408","TRINITY_DN8902_c0_g1_i2","ko05016"
"1050","K16914","TRINITY_DN8981_c0_g3_i6","NA"
"1051","K01276","TRINITY_DN8950_c0_g1_i2","NA"
"1053","K09569","TRINITY_DN8931_c0_g1_i2","NA"
"1058","K04564","TRINITY_DN8922_c0_g1_i1","ko04013"
"1064","K17768","TRINITY_DN8904_c0_g2_i2","NA"
"1066","K10691","TRINITY_DN8984_c0_g1_i1","ko05165"
"1070","K02295","TRINITY_DN8959_c0_g2_i1","ko04710"
"1072","K00472","TRINITY_DN8957_c0_g1_i2","ko00330"
"1073","K16582","TRINITY_DN8995_c0_g1_i2","NA"
"1081","K03243","TRINITY_DN8920_c1_g1_i1","ko03013"
"1082","K09503","TRINITY_DN8901_c0_g1_i1","ko04141"
"1089","K14676","TRINITY_DN8908_c0_g1_i2","ko00564"
"1091","K14286","TRINITY_DN8973_c0_g1_i4","ko00564"
"1099","K02183","TRINITY_DN8990_c0_g1_i2","ko04014"
"1100","K03942","TRINITY_DN8939_c0_g1_i8","ko00190"
"1101","K12412","TRINITY_DN8916_c0_g1_i1","ko04011"
"1104","K09592","TRINITY_DN15083_c0_g1_i1","ko04066"
"1111","K20967","TRINITY_DN8997_c0_g1_i4","ko00790"
"1113","K02016","TRINITY_DN8964_c0_g1_i2","NA"
"1124","K17988","TRINITY_DN15077_c0_g4_i1","NA"
"1125","K19922","TRINITY_DN8974_c0_g3_i1","NA"
"1128","K15272","TRINITY_DN8928_c0_g1_i2","NA"
"1130","K20854","TRINITY_DN8905_c0_g1_i1","NA"
"1132","K02510","TRINITY_DN8992_c0_g1_i1","ko00350"
"1133","K13348","TRINITY_DN8980_c0_g1_i1","ko04146"
"1137","K02936","TRINITY_DN43298_c0_g1_i1","ko03010"
"1140","K07941","TRINITY_DN43251_c0_g1_i1","ko04014"
"1142","K12130","TRINITY_DN43233_c0_g1_i1","ko04712"
"1144","K00951","TRINITY_DN43276_c0_g1_i1","ko00230"
"1146","K00784","TRINITY_DN43284_c0_g1_i1","ko03013"
"1159","K09131","TRINITY_DN3487_c0_g1_i1","NA"
"1163","K00059","TRINITY_DN3458_c0_g1_i3","ko00061"
"1166","K00384","TRINITY_DN3482_c0_g1_i2","ko00450"
"1168","K09584","TRINITY_DN3471_c0_g4_i1","ko04141"
"1169","K09584","TRINITY_DN3471_c0_g1_i2","ko04141"
"1170","K09580","TRINITY_DN3471_c0_g2_i1","ko04141"
"1171","K09584","TRINITY_DN3471_c0_g3_i2","ko04141"
"1175","K01633","TRINITY_DN3439_c1_g1_i4","ko00790"
"1177","K00681","TRINITY_DN15049_c0_g1_i2","ko00430"
"1179","K13094","TRINITY_DN3489_c1_g1_i1","NA"
"1184","K11253","TRINITY_DN3432_c0_g1_i2","ko05034"
"1185","K11251","TRINITY_DN3432_c0_g2_i2","ko04217"
"1186","K01069","TRINITY_DN3438_c0_g1_i3","ko00620"
"1187","K04957","TRINITY_DN3418_c0_g1_i5","ko04024"
"1190","K20535","TRINITY_DN3429_c0_g1_i1","ko04016"
"1191","K01137","TRINITY_DN3407_c1_g2_i4","ko00531"
"1193","K14607","TRINITY_DN3407_c0_g1_i1","NA"
"1198","K18726","TRINITY_DN3414_c0_g2_i1","NA"
"1202","K03273","TRINITY_DN3498_c0_g1_i1","ko00540"
"1206","K03654","TRINITY_DN3437_c0_g5_i1","ko03018"
"1207","K03702","TRINITY_DN3437_c0_g2_i1","ko03420"
"1211","K01025","TRINITY_DN3437_c2_g1_i4","NA"
"1215","K08994","TRINITY_DN3484_c0_g1_i8","NA"
"1217","K11426","TRINITY_DN3427_c0_g1_i1","NA"
"1218","K07951","TRINITY_DN3440_c0_g1_i4","NA"
"1220","K11451","TRINITY_DN3497_c0_g1_i21","NA"
"1221","K10848","TRINITY_DN3497_c0_g2_i2","ko03420"
"1226","K04959","TRINITY_DN3442_c1_g1_i1","ko04020"
"1229","K02604","TRINITY_DN3442_c1_g4_i1","ko04110"
"1238","K13126","TRINITY_DN3459_c0_g3_i1","ko03013"
"1239","K08681","TRINITY_DN3483_c0_g1_i2","ko00750"
"1242","K11422","TRINITY_DN3473_c0_g1_i1","ko00310"
"1246","K17584","TRINITY_DN3464_c0_g2_i4","NA"
"1252","K01873","TRINITY_DN3457_c0_g1_i1","ko00970"
"1258","K08869","TRINITY_DN3457_c2_g1_i3","NA"
"1267","K00012","TRINITY_DN3453_c1_g1_i1","ko00040"
"1268","K02692","TRINITY_DN3453_c0_g1_i1","ko00195"
"1271","K00942","TRINITY_DN3491_c0_g1_i6","ko00230"
"1276","K10417","TRINITY_DN3447_c0_g3_i4","ko04962"
"1277","K11000","TRINITY_DN15086_c0_g2_i1","NA"
"1278","K12376","TRINITY_DN3444_c0_g1_i2","NA"
"1282","K02639","TRINITY_DN3415_c1_g2_i1","ko00195"
"1283","K04523","TRINITY_DN3415_c1_g1_i1","ko04141"
"1284","K16780","TRINITY_DN3495_c0_g1_i3","NA"
"1286","K12386","TRINITY_DN3474_c0_g2_i8","ko04142"
"1290","K11594","TRINITY_DN3434_c0_g1_i1","ko04622"
"1292","K14006","TRINITY_DN3422_c2_g1_i1","ko04141"
"1298","K04565","TRINITY_DN3426_c0_g1_i2","ko04146"
"1300","K04565","TRINITY_DN3426_c0_g2_i1","ko04146"
"1310","K11844","TRINITY_DN15070_c0_g1_i1","NA"
"1311","K05869","TRINITY_DN7260_c0_g1_i1","ko04020"
"1312","K17499","TRINITY_DN7221_c0_g1_i1","NA"
"1315","K04977","TRINITY_DN7268_c0_g1_i2","ko04621"
"1318","K08856","TRINITY_DN7209_c0_g2_i1","NA"
"1321","K09503","TRINITY_DN7290_c0_g1_i1","ko04141"
"1323","K01194","TRINITY_DN7277_c1_g1_i4","ko00500"
"1324","K12042","TRINITY_DN7277_c2_g1_i1","ko04020"
"1325","K06916","TRINITY_DN7277_c0_g1_i1","NA"
"1330","K10885","TRINITY_DN7296_c1_g1_i9","ko03450"
"1337","K15263","TRINITY_DN7276_c0_g1_i1","NA"
"1338","K02638","TRINITY_DN7274_c0_g1_i1","ko00195"
"1341","K15032","TRINITY_DN7202_c1_g1_i5","NA"
"1347","K08342","TRINITY_DN7269_c0_g2_i1","ko04136"
"1351","K02183","TRINITY_DN7252_c1_g1_i1","ko04014"
"1357","K05305","TRINITY_DN7253_c0_g2_i2","ko00051"
"1363","K10408","TRINITY_DN15050_c0_g1_i1","ko05016"
"1364","K19073","TRINITY_DN7272_c0_g2_i1","ko00860"
"1365","K07964","TRINITY_DN7266_c0_g4_i1","ko00531"
"1367","K05970","TRINITY_DN7266_c0_g7_i2","NA"
"1373","K01345","TRINITY_DN7256_c0_g2_i1","ko04972"
"1376","K01733","TRINITY_DN7295_c0_g1_i6","ko00260"
"1380","K08331","TRINITY_DN7240_c0_g1_i5","ko04136"
"1386","K07198","TRINITY_DN7271_c2_g2_i1","ko04068"
"1387","K08794","TRINITY_DN7271_c0_g1_i1","ko04020"
"1388","K08821","TRINITY_DN7271_c0_g3_i1","ko05202"
"1389","K04739","TRINITY_DN7271_c1_g3_i1","ko04910"
"1391","K08794","TRINITY_DN7271_c1_g1_i1","ko04020"
"1394","K05658","TRINITY_DN7247_c0_g1_i1","ko02010"
"1396","K20784","TRINITY_DN7247_c0_g2_i1","ko00514"
"1397","K05658","TRINITY_DN7247_c0_g3_i1","ko02010"
"1399","K14006","TRINITY_DN7228_c0_g1_i2","ko04141"
"1402","K02916","TRINITY_DN7258_c0_g2_i1","ko03010"
"1403","K20603","TRINITY_DN7279_c0_g1_i1","ko04016"
"1406","K03978","TRINITY_DN7263_c2_g2_i1","NA"
"1410","K01529","TRINITY_DN7267_c0_g1_i1","NA"
"1411","K04042","TRINITY_DN7204_c0_g1_i4","ko00520"
"1417","K03189","TRINITY_DN7246_c0_g1_i3","NA"
"1418","K12829","TRINITY_DN7298_c1_g1_i4","ko03040"
"1424","K20826","TRINITY_DN7288_c0_g1_i4","NA"
"1444","K02866","TRINITY_DN33851_c0_g1_i1","ko03010"
"1450","K15163","TRINITY_DN33833_c0_g1_i1","NA"
"1453","K13026","TRINITY_DN33892_c0_g1_i1","NA"
"1456","K08794","TRINITY_DN33830_c0_g1_i1","ko04020"
"1460","K10408","TRINITY_DN33896_c0_g1_i1","ko05016"
"1461","K10356","TRINITY_DN33875_c0_g1_i1","NA"
"1463","K00627","TRINITY_DN15055_c0_g1_i1","ko00010"
"1488","K00798","TRINITY_DN15043_c0_g1_i1","ko00860"
"1492","K06617","TRINITY_DN22319_c0_g1_i1","ko00052"
"1496","K16772","TRINITY_DN22376_c0_g1_i1","NA"
"1498","K15264","TRINITY_DN22376_c0_g2_i1","NA"
"1501","K01653","TRINITY_DN22308_c0_g1_i1","ko00290"
"1502","K02958","TRINITY_DN22382_c0_g1_i1","ko03010"
"1503","K01408","TRINITY_DN22365_c1_g1_i1","ko05010"
"1518","K22761","TRINITY_DN22318_c0_g1_i1","NA"
"1520","K13024","TRINITY_DN22320_c0_g1_i1","ko04070"
"1540","K09667","TRINITY_DN26068_c0_g1_i1","ko00514"
"1542","K19947","TRINITY_DN26087_c0_g1_i1","NA"
"1547","K02896","TRINITY_DN34224_c0_g1_i1","ko03010"
"1548","K10406","TRINITY_DN34262_c0_g1_i1","NA"
"1550","K08824","TRINITY_DN34226_c0_g1_i1","NA"
"1552","K10395","TRINITY_DN34273_c0_g1_i1","NA"
"1558","K07376","TRINITY_DN34242_c0_g1_i1","ko04022"
"1569","K19944","TRINITY_DN15003_c0_g1_i1","NA"
"1578","K01192","TRINITY_DN24467_c0_g1_i1","ko00511"
"1581","K08716","TRINITY_DN24485_c0_g1_i1","NA"
"1585","K04646","TRINITY_DN24424_c0_g1_i1","ko04142"
"1587","K14442","TRINITY_DN15059_c0_g1_i1","ko03018"
"1592","K11136","TRINITY_DN24426_c0_g1_i1","NA"
"1596","K13412","TRINITY_DN15014_c0_g1_i1","ko04626"
"1597","K15685","TRINITY_DN24415_c0_g1_i1","NA"
"1598","K01190","TRINITY_DN24491_c1_g1_i1","ko00052"
"1603","K23286","TRINITY_DN24497_c0_g1_i2","NA"
"1608","K13988","TRINITY_DN26241_c0_g1_i1","ko00230"
"1613","K14292","TRINITY_DN26225_c0_g1_i1","ko03013"
"1615","K08098","TRINITY_DN15065_c0_g1_i1","ko00563"
"1620","K01110","TRINITY_DN15071_c2_g2_i1","ko00562"
"1621","K16540","TRINITY_DN26276_c0_g4_i1","NA"
"1626","K10357","TRINITY_DN22666_c0_g1_i1","NA"
"1630","K01110","TRINITY_DN15071_c1_g2_i1","ko00562"
"1637","K19307","TRINITY_DN22628_c0_g1_i1","NA"
"1641","K01110","TRINITY_DN15071_c1_g1_i1","ko00562"
"1643","K03707","TRINITY_DN22633_c1_g1_i2","ko00730"
"1648","K03000","TRINITY_DN22648_c0_g1_i1","ko03020"
"1649","K06072","TRINITY_DN22648_c0_g2_i1","NA"
"1650","K16545","TRINITY_DN22691_c0_g1_i1","NA"
"1657","K15026","TRINITY_DN22634_c0_g1_i1","NA"
"1658","K01110","TRINITY_DN15071_c0_g1_i4","ko00562"
"1662","K14400","TRINITY_DN22673_c0_g1_i1","ko03015"
"1663","K13856","TRINITY_DN22649_c0_g1_i1","NA"
