original,renamed
TRINITY_DN13052_c0_g1_i1 len=876 path=[0:0-875],Transcript_62
TRINITY_DN13008_c0_g1_i1 len=513 path=[0:0-512],Transcript_63
TRINITY_DN13056_c1_g2_i1 len=700 path=[1:0-502 2:503-699],Transcript_64
TRINITY_DN13013_c0_g1_i1 len=1527 path=[0:0-1526],Transcript_65
TRINITY_DN13040_c0_g1_i2 len=3514 path=[0:0-60 1:61-185 2:186-2376 4:2377-3513],Transcript_66
TRINITY_DN13050_c0_g1_i1 len=866 path=[0:0-865],Transcript_67
TRINITY_DN13074_c0_g2_i1 len=521 path=[0:0-520],Transcript_68
TRINITY_DN13079_c0_g1_i2 len=3268 path=[0:0-2342 1:2343-2444 2:2445-3267],Transcript_69
TRINITY_DN13088_c0_g2_i1 len=1163 path=[0:0-1162],Transcript_70
TRINITY_DN13088_c3_g1_i2 len=1365 path=[0:0-1364],Transcript_71
TRINITY_DN13088_c1_g1_i1 len=1732 path=[0:0-521 2:522-1731],Transcript_72
TRINITY_DN13073_c1_g1_i1 len=919 path=[0:0-918],Transcript_73
TRINITY_DN13025_c0_g1_i1 len=1881 path=[0:0-1880],Transcript_74
TRINITY_DN13032_c0_g1_i8 len=2021 path=[0:0-184 4:185-1114 5:1115-1285 6:1286-1324 7:1325-1433 8:1434-2020],Transcript_75
TRINITY_DN13060_c0_g1_i1 len=2144 path=[0:0-2143],Transcript_76
TRINITY_DN13090_c0_g1_i1 len=843 path=[0:0-128 2:129-140 4:141-842],Transcript_77
TRINITY_DN13081_c0_g1_i1 len=3132 path=[0:0-3131],Transcript_78
TRINITY_DN13098_c0_g1_i1 len=1067 path=[0:0-1066],Transcript_79
TRINITY_DN13006_c0_g1_i1 len=1191 path=[0:0-1190],Transcript_80
TRINITY_DN13093_c1_g1_i1 len=651 path=[0:0-650],Transcript_81
TRINITY_DN13093_c0_g1_i1 len=1687 path=[0:0-324 1:325-442 2:443-1686],Transcript_82
TRINITY_DN13001_c0_g1_i1 len=240 path=[0:0-239],Transcript_83
TRINITY_DN13062_c0_g1_i3 len=585 path=[0:0-364 1:365-472 2:473-584],Transcript_84
TRINITY_DN13065_c0_g1_i1 len=1646 path=[0:0-1645],Transcript_85
TRINITY_DN13034_c0_g1_i1 len=1703 path=[0:0-1702],Transcript_86
TRINITY_DN13089_c0_g1_i1 len=1242 path=[0:0-1241],Transcript_87
TRINITY_DN13005_c0_g1_i1 len=1393 path=[0:0-1392],Transcript_88
TRINITY_DN13054_c0_g1_i1 len=735 path=[0:0-734],Transcript_89
TRINITY_DN13055_c0_g1_i3 len=1333 path=[0:0-298 2:299-455 3:456-519 4:520-616 5:617-798 6:799-1332],Transcript_90
TRINITY_DN13017_c0_g1_i2 len=2763 path=[0:0-2001 1:2002-2086 2:2087-2762],Transcript_91
TRINITY_DN16105_c0_g1_i1 len=570 path=[0:0-569],Transcript_92
TRINITY_DN16105_c3_g1_i1 len=241 path=[0:0-240],Transcript_93
TRINITY_DN16105_c1_g1_i1 len=344 path=[0:0-343],Transcript_94
TRINITY_DN16105_c2_g1_i1 len=208 path=[0:0-207],Transcript_95
TRINITY_DN16105_c1_g5_i1 len=266 path=[0:0-265],Transcript_96
TRINITY_DN16194_c0_g1_i4 len=1337 path=[0:0-1336],Transcript_97
TRINITY_DN16189_c0_g1_i4 len=3805 path=[1:0-2307 2:2308-2342 3:2343-3804],Transcript_98
TRINITY_DN16189_c0_g2_i1 len=2568 path=[0:0-2567],Transcript_99
TRINITY_DN16189_c3_g1_i1 len=260 path=[0:0-259],Transcript_100
TRINITY_DN16189_c1_g1_i1 len=585 path=[0:0-584],Transcript_101
TRINITY_DN16173_c0_g1_i1 len=681 path=[0:0-680],Transcript_102
TRINITY_DN16172_c0_g1_i1 len=834 path=[0:0-833],Transcript_103
TRINITY_DN16172_c0_g2_i1 len=405 path=[0:0-404],Transcript_104
TRINITY_DN16116_c0_g1_i1 len=387 path=[0:0-386],Transcript_105
TRINITY_DN16151_c0_g1_i1 len=289 path=[0:0-288],Transcript_106
TRINITY_DN16153_c0_g1_i4 len=1122 path=[0:0-1121],Transcript_107
TRINITY_DN16184_c0_g1_i1 len=572 path=[0:0-571],Transcript_108
TRINITY_DN16152_c0_g1_i1 len=1560 path=[0:0-1559],Transcript_109
TRINITY_DN16132_c0_g1_i3 len=945 path=[0:0-172 3:173-464 4:465-854 6:855-944],Transcript_110
TRINITY_DN16149_c0_g1_i1 len=869 path=[0:0-819 2:820-868],Transcript_111
TRINITY_DN16102_c0_g1_i1 len=1348 path=[0:0-1347],Transcript_112
TRINITY_DN16166_c0_g1_i1 len=702 path=[0:0-701],Transcript_113
TRINITY_DN16169_c0_g1_i1 len=746 path=[0:0-745],Transcript_114
TRINITY_DN16100_c0_g1_i2 len=374 path=[0:0-97 1:98-171 2:172-373],Transcript_115
TRINITY_DN16124_c0_g1_i1 len=208 path=[0:0-207],Transcript_116
TRINITY_DN16124_c0_g2_i1 len=249 path=[0:0-248],Transcript_117
TRINITY_DN16193_c0_g1_i3 len=806 path=[1:0-214 2:215-509 4:510-546 5:547-570 6:571-805],Transcript_118
TRINITY_DN16148_c0_g1_i2 len=1277 path=[0:0-447 1:448-448 2:449-952 3:953-1276],Transcript_119
TRINITY_DN16110_c0_g1_i1 len=1711 path=[0:0-1710],Transcript_120
TRINITY_DN16125_c0_g1_i1 len=219 path=[0:0-218],Transcript_121
TRINITY_DN16136_c0_g1_i1 len=2643 path=[0:0-2642],Transcript_122
TRINITY_DN16140_c0_g1_i1 len=1349 path=[0:0-1348],Transcript_123
TRINITY_DN16158_c0_g1_i1 len=769 path=[0:0-768],Transcript_124
TRINITY_DN16185_c0_g1_i2 len=1445 path=[0:0-1188 2:1189-1444],Transcript_125
TRINITY_DN16174_c0_g1_i1 len=250 path=[0:0-249],Transcript_126
TRINITY_DN16174_c0_g2_i1 len=296 path=[0:0-295],Transcript_127
TRINITY_DN16133_c0_g1_i2 len=1058 path=[0:0-614 1:615-1057],Transcript_128
TRINITY_DN16163_c0_g2_i1 len=218 path=[0:0-217],Transcript_129
TRINITY_DN16101_c0_g1_i1 len=1179 path=[0:0-1178],Transcript_130
TRINITY_DN16168_c0_g1_i1 len=390 path=[0:0-389],Transcript_131
TRINITY_DN16168_c0_g3_i1 len=275 path=[0:0-274],Transcript_132
TRINITY_DN16103_c0_g1_i1 len=733 path=[0:0-732],Transcript_133
TRINITY_DN16176_c0_g1_i1 len=1331 path=[0:0-1330],Transcript_134
TRINITY_DN16171_c2_g1_i1 len=1912 path=[0:0-1911],Transcript_135
TRINITY_DN16171_c0_g1_i1 len=543 path=[0:0-542],Transcript_136
TRINITY_DN16156_c0_g1_i2 len=455 path=[0:0-454],Transcript_137
TRINITY_DN16164_c0_g1_i1 len=380 path=[0:0-379],Transcript_138
TRINITY_DN16198_c0_g2_i1 len=1130 path=[0:0-761 3:762-810 4:811-1129],Transcript_139
TRINITY_DN16154_c0_g1_i1 len=1010 path=[0:0-1009],Transcript_140
TRINITY_DN16142_c0_g1_i1 len=435 path=[0:0-434],Transcript_141
TRINITY_DN16180_c0_g1_i1 len=1023 path=[0:0-1022],Transcript_142
TRINITY_DN16111_c0_g2_i1 len=868 path=[0:0-867],Transcript_143
TRINITY_DN16170_c0_g4_i1 len=843 path=[0:0-622 1:623-765 2:766-842],Transcript_144
TRINITY_DN16170_c0_g1_i1 len=322 path=[0:0-321],Transcript_145
TRINITY_DN16170_c0_g2_i1 len=326 path=[0:0-325],Transcript_146
TRINITY_DN16170_c0_g3_i1 len=1072 path=[0:0-1071],Transcript_147
TRINITY_DN16147_c0_g1_i1 len=290 path=[0:0-289],Transcript_148
TRINITY_DN16147_c0_g2_i1 len=250 path=[0:0-249],Transcript_149
TRINITY_DN16187_c0_g1_i1 len=404 path=[0:0-403],Transcript_150
TRINITY_DN16187_c0_g2_i1 len=260 path=[0:0-259],Transcript_151
TRINITY_DN16131_c3_g1_i2 len=757 path=[0:0-756],Transcript_152
TRINITY_DN16131_c0_g1_i1 len=1763 path=[0:0-953 2:954-1047 3:1048-1762],Transcript_153
TRINITY_DN16118_c0_g1_i1 len=303 path=[0:0-302],Transcript_154
TRINITY_DN16118_c0_g2_i1 len=445 path=[0:0-444],Transcript_155
TRINITY_DN16121_c0_g1_i1 len=1293 path=[0:0-1292],Transcript_156
TRINITY_DN16179_c0_g1_i1 len=1544 path=[0:0-1543],Transcript_157
TRINITY_DN16159_c0_g1_i1 len=1167 path=[0:0-1166],Transcript_158
TRINITY_DN16109_c0_g1_i12 len=1100 path=[0:0-501 2:502-570 3:571-579 4:580-692 5:693-723 6:724-767 7:768-845 8:846-889 9:890-1099],Transcript_159
TRINITY_DN16104_c0_g1_i2 len=607 path=[0:0-606],Transcript_160
TRINITY_DN16143_c0_g1_i1 len=698 path=[0:0-697],Transcript_161
TRINITY_DN16175_c2_g1_i1 len=645 path=[0:0-644],Transcript_162
TRINITY_DN16175_c0_g1_i1 len=1107 path=[0:0-119 1:120-129 4:130-1106],Transcript_163
TRINITY_DN16175_c0_g3_i1 len=289 path=[0:0-288],Transcript_164
TRINITY_DN16137_c0_g1_i1 len=1414 path=[0:0-721 2:722-785 3:786-1413],Transcript_165
TRINITY_DN16155_c0_g1_i1 len=398 path=[0:0-397],Transcript_166
TRINITY_DN16167_c0_g1_i4 len=3842 path=[1:0-1117 3:1118-1119 5:1120-1675 6:1676-2350 7:2351-2488 8:2489-3841],Transcript_167
TRINITY_DN16129_c0_g1_i1 len=1436 path=[0:0-1435],Transcript_168
TRINITY_DN17594_c0_g1_i1 len=2177 path=[0:0-2176],Transcript_169
TRINITY_DN17523_c0_g1_i1 len=1040 path=[0:0-1039],Transcript_170
TRINITY_DN17505_c0_g1_i1 len=299 path=[0:0-298],Transcript_171
TRINITY_DN17546_c0_g1_i1 len=622 path=[0:0-621],Transcript_172
TRINITY_DN17503_c0_g1_i1 len=263 path=[0:0-262],Transcript_173
TRINITY_DN17503_c0_g2_i1 len=238 path=[0:0-237],Transcript_174
TRINITY_DN17503_c0_g3_i1 len=234 path=[0:0-233],Transcript_175
TRINITY_DN17562_c0_g1_i2 len=1245 path=[0:0-252 1:253-1244],Transcript_176
TRINITY_DN17507_c0_g1_i1 len=1035 path=[0:0-1034],Transcript_177
TRINITY_DN17507_c0_g2_i1 len=262 path=[0:0-261],Transcript_178
TRINITY_DN17595_c0_g1_i2 len=878 path=[0:0-164 2:165-245 4:246-877],Transcript_179
TRINITY_DN17589_c0_g1_i1 len=878 path=[0:0-877],Transcript_180
TRINITY_DN17597_c0_g1_i2 len=1592 path=[1:0-122 2:123-358 3:359-1338 4:1339-1591],Transcript_181
TRINITY_DN17580_c0_g1_i4 len=3135 path=[0:0-3134],Transcript_182
TRINITY_DN17525_c0_g1_i1 len=506 path=[0:0-505],Transcript_183
TRINITY_DN17525_c0_g2_i1 len=343 path=[0:0-342],Transcript_184
TRINITY_DN17529_c0_g1_i3 len=883 path=[0:0-181 2:182-253 3:254-359 4:360-882],Transcript_185
TRINITY_DN17584_c0_g1_i2 len=1370 path=[0:0-787 2:788-1369],Transcript_186
TRINITY_DN17550_c0_g2_i1 len=257 path=[0:0-256],Transcript_187
TRINITY_DN17569_c0_g1_i1 len=1124 path=[0:0-1123],Transcript_188
TRINITY_DN17535_c0_g1_i1 len=221 path=[0:0-220],Transcript_189
TRINITY_DN17535_c0_g2_i1 len=251 path=[0:0-250],Transcript_190
TRINITY_DN17524_c0_g1_i1 len=243 path=[0:0-242],Transcript_191
TRINITY_DN17524_c0_g2_i1 len=274 path=[0:0-273],Transcript_192
TRINITY_DN17552_c0_g1_i1 len=850 path=[0:0-849],Transcript_193
TRINITY_DN17501_c0_g1_i2 len=748 path=[0:0-747],Transcript_194
TRINITY_DN17501_c0_g2_i1 len=1504 path=[0:0-1503],Transcript_195
TRINITY_DN17565_c0_g1_i1 len=371 path=[0:0-370],Transcript_196
TRINITY_DN17565_c0_g2_i1 len=264 path=[0:0-263],Transcript_197
TRINITY_DN17551_c0_g1_i1 len=1377 path=[0:0-1376],Transcript_198
TRINITY_DN17590_c0_g1_i1 len=546 path=[0:0-545],Transcript_199
TRINITY_DN17543_c0_g1_i2 len=1169 path=[1:0-709 3:710-1168],Transcript_200
TRINITY_DN17543_c0_g2_i1 len=210 path=[0:0-209],Transcript_201
TRINITY_DN17544_c1_g1_i1 len=676 path=[0:0-244 2:245-675],Transcript_202
TRINITY_DN17544_c0_g1_i1 len=1878 path=[0:0-216 2:217-1877],Transcript_203
TRINITY_DN17541_c0_g2_i1 len=872 path=[0:0-871],Transcript_204
TRINITY_DN17522_c0_g1_i1 len=915 path=[0:0-914],Transcript_205
TRINITY_DN17592_c0_g1_i1 len=1714 path=[0:0-1713],Transcript_206
TRINITY_DN17504_c0_g1_i1 len=1939 path=[0:0-1938],Transcript_207
TRINITY_DN17502_c0_g3_i1 len=262 path=[0:0-261],Transcript_208
TRINITY_DN17571_c0_g1_i1 len=1814 path=[0:0-1813],Transcript_209
TRINITY_DN17578_c0_g2_i1 len=268 path=[0:0-267],Transcript_210
TRINITY_DN17542_c0_g1_i2 len=755 path=[0:0-321 1:322-754],Transcript_211
TRINITY_DN17506_c0_g1_i2 len=204 path=[1:0-110 2:111-203],Transcript_212
TRINITY_DN17561_c0_g1_i1 len=600 path=[0:0-599],Transcript_213
TRINITY_DN17556_c1_g1_i3 len=579 path=[0:0-578],Transcript_214
TRINITY_DN17556_c2_g1_i1 len=656 path=[0:0-655],Transcript_215
TRINITY_DN17556_c0_g1_i2 len=431 path=[3:0-154 4:155-202 5:203-237 6:238-430],Transcript_216
TRINITY_DN17556_c0_g2_i1 len=889 path=[0:0-888],Transcript_217
TRINITY_DN17554_c0_g1_i1 len=1552 path=[0:0-1551],Transcript_218
TRINITY_DN17558_c0_g1_i1 len=633 path=[0:0-632],Transcript_219
TRINITY_DN17586_c0_g1_i2 len=524 path=[0:0-251 1:252-301 3:302-441 5:442-523],Transcript_220
TRINITY_DN17583_c0_g1_i3 len=770 path=[0:0-386 1:387-769],Transcript_221
TRINITY_DN17527_c0_g1_i4 len=1241 path=[0:0-1240],Transcript_222
TRINITY_DN17533_c0_g1_i1 len=346 path=[0:0-345],Transcript_223
TRINITY_DN17533_c0_g2_i1 len=886 path=[0:0-885],Transcript_224
TRINITY_DN17508_c0_g1_i4 len=1679 path=[0:0-1678],Transcript_225
TRINITY_DN17547_c0_g1_i1 len=738 path=[0:0-737],Transcript_226
TRINITY_DN17514_c0_g1_i1 len=1327 path=[0:0-1326],Transcript_227
TRINITY_DN17560_c0_g1_i1 len=1394 path=[0:0-1393],Transcript_228
TRINITY_DN17560_c0_g2_i1 len=267 path=[0:0-266],Transcript_229
TRINITY_DN17585_c0_g1_i1 len=1052 path=[0:0-1051],Transcript_230
TRINITY_DN17596_c0_g1_i1 len=567 path=[0:0-566],Transcript_231
TRINITY_DN17519_c0_g1_i3 len=704 path=[1:0-300 2:301-376 4:377-703],Transcript_232
TRINITY_DN17587_c0_g1_i1 len=433 path=[0:0-432],Transcript_233
TRINITY_DN17582_c0_g1_i1 len=297 path=[0:0-296],Transcript_234
TRINITY_DN17536_c0_g1_i1 len=1424 path=[0:0-1423],Transcript_235
TRINITY_DN6064_c1_g2_i1 len=323 path=[0:0-322],Transcript_236
TRINITY_DN6058_c1_g1_i1 len=1563 path=[0:0-1562],Transcript_237
TRINITY_DN6061_c0_g1_i1 len=459 path=[0:0-458],Transcript_238
TRINITY_DN6088_c0_g1_i3 len=1691 path=[0:0-114 1:115-241 2:242-974 4:975-1301 6:1302-1690],Transcript_239
TRINITY_DN6025_c0_g1_i1 len=1639 path=[0:0-1638],Transcript_240
TRINITY_DN6019_c0_g1_i1 len=1728 path=[0:0-940 1:941-981 2:982-982 3:983-1040 4:1041-1727],Transcript_241
TRINITY_DN6059_c0_g1_i4 len=1786 path=[0:0-719 3:720-926 4:927-949 5:950-1093 6:1094-1785],Transcript_242
TRINITY_DN6067_c0_g1_i1 len=752 path=[0:0-185 1:186-269 2:270-751],Transcript_243
TRINITY_DN6054_c0_g1_i1 len=744 path=[0:0-743],Transcript_244
TRINITY_DN6060_c0_g1_i2 len=1445 path=[0:0-1444],Transcript_245
TRINITY_DN6015_c0_g1_i5 len=853 path=[1:0-146 2:147-218 3:219-527 4:528-553 5:554-852],Transcript_246
TRINITY_DN6016_c0_g1_i2 len=1266 path=[0:0-451 1:452-535 2:536-1265],Transcript_247
TRINITY_DN6089_c0_g1_i4 len=3405 path=[0:0-1861 2:1862-1880 4:1881-2011 6:2012-2650 7:2651-2653 8:2654-2983 10:2984-3404],Transcript_248
TRINITY_DN6040_c0_g1_i1 len=1010 path=[0:0-63 1:64-290 2:291-1009],Transcript_249
TRINITY_DN6017_c1_g1_i1 len=1033 path=[0:0-1032],Transcript_250
TRINITY_DN6017_c0_g1_i2 len=2945 path=[0:0-1206 1:1207-1269 2:1270-1484 3:1485-1580 4:1581-2944],Transcript_251
TRINITY_DN6028_c0_g1_i1 len=884 path=[0:0-883],Transcript_252
TRINITY_DN6049_c0_g3_i2 len=1569 path=[1:0-616 2:617-1568],Transcript_253
TRINITY_DN6080_c0_g1_i1 len=791 path=[0:0-678 1:679-790],Transcript_254
TRINITY_DN6001_c0_g1_i1 len=1093 path=[0:0-1092],Transcript_255
TRINITY_DN6090_c0_g1_i1 len=1064 path=[0:0-948 1:949-1013 2:1014-1063],Transcript_256
TRINITY_DN6045_c0_g1_i3 len=1741 path=[0:0-65 1:66-155 2:156-359 3:360-424 4:425-720 5:721-828 6:829-1740],Transcript_257
TRINITY_DN6068_c0_g1_i1 len=284 path=[0:0-283],Transcript_258
TRINITY_DN6033_c2_g1_i1 len=639 path=[0:0-638],Transcript_259
TRINITY_DN6033_c0_g2_i1 len=1113 path=[0:0-667 1:668-716 2:717-1112],Transcript_260
TRINITY_DN6046_c3_g1_i3 len=1208 path=[0:0-448 1:449-585 2:586-1207],Transcript_261
TRINITY_DN6046_c1_g1_i8 len=2097 path=[0:0-834 5:835-1535 6:1536-1724 7:1725-1792 8:1793-1808 11:1809-1851 12:1852-1853 15:1854-2050 17:2051-2055 18:2056-2096],Transcript_262
TRINITY_DN6046_c0_g1_i3 len=3617 path=[1:0-368 2:369-540 3:541-897 4:898-982 5:983-3293 6:3294-3435 8:3436-3616],Transcript_263
TRINITY_DN6003_c0_g1_i1 len=775 path=[0:0-774],Transcript_264
TRINITY_DN6003_c0_g2_i1 len=668 path=[0:0-559 1:560-667],Transcript_265
TRINITY_DN6007_c0_g1_i3 len=2800 path=[0:0-968 1:969-1035 4:1036-1408 5:1409-1591 6:1592-2799],Transcript_266
TRINITY_DN6014_c0_g2_i12 len=1243 path=[0:0-408 1:409-511 2:512-583 3:584-673 5:674-837 6:838-866 7:867-1028 8:1029-1242],Transcript_267
TRINITY_DN6014_c1_g1_i1 len=795 path=[0:0-89 3:90-312 4:313-431 5:432-551 7:552-794],Transcript_268
TRINITY_DN6014_c2_g1_i2 len=1769 path=[0:0-1768],Transcript_269
TRINITY_DN6062_c0_g1_i1 len=1222 path=[0:0-494 1:495-590 2:591-1221],Transcript_270
TRINITY_DN6020_c1_g1_i1 len=206 path=[0:0-205],Transcript_271
TRINITY_DN6020_c0_g1_i4 len=1175 path=[0:0-1174],Transcript_272
TRINITY_DN6020_c0_g2_i1 len=381 path=[0:0-380],Transcript_273
TRINITY_DN6020_c0_g3_i1 len=392 path=[0:0-391],Transcript_274
TRINITY_DN6031_c0_g1_i4 len=1706 path=[0:0-507 1:508-614 2:615-1271 4:1272-1705],Transcript_275
TRINITY_DN6056_c1_g1_i2 len=971 path=[0:0-504 1:505-589 2:590-970],Transcript_276
TRINITY_DN6056_c0_g1_i1 len=770 path=[1:0-120 2:121-769],Transcript_277
TRINITY_DN6029_c0_g1_i2 len=1134 path=[0:0-882 1:883-965 2:966-1133],Transcript_278
TRINITY_DN6041_c0_g1_i1 len=1216 path=[0:0-1215],Transcript_279
TRINITY_DN6095_c0_g1_i1 len=1533 path=[0:0-781 1:782-931 2:932-1532],Transcript_280
TRINITY_DN6038_c0_g1_i2 len=1611 path=[0:0-1405 1:1406-1552 2:1553-1610],Transcript_281
TRINITY_DN6036_c1_g1_i1 len=1044 path=[0:0-1043],Transcript_282
TRINITY_DN6036_c0_g1_i7 len=2291 path=[1:0-540 2:541-630 3:631-704 4:705-2016 6:2017-2290],Transcript_283
TRINITY_DN6091_c0_g1_i6 len=1558 path=[0:0-619 1:620-738 3:739-889 4:890-1156 6:1157-1243 8:1244-1557],Transcript_284
TRINITY_DN6006_c0_g1_i1 len=2238 path=[0:0-280 1:281-703 2:704-2237],Transcript_285
TRINITY_DN6006_c0_g2_i1 len=1767 path=[0:0-1766],Transcript_286
TRINITY_DN6018_c0_g1_i1 len=948 path=[0:0-631 1:632-723 2:724-947],Transcript_287
TRINITY_DN6035_c0_g1_i2 len=297 path=[0:0-296],Transcript_288
TRINITY_DN6051_c1_g1_i1 len=355 path=[0:0-354],Transcript_289
TRINITY_DN6051_c2_g1_i2 len=2983 path=[0:0-130 1:131-145 3:146-146 5:147-164 6:165-191 8:192-202 10:203-2982],Transcript_290
TRINITY_DN6051_c0_g1_i3 len=1529 path=[1:0-85 2:86-112 4:113-781 5:782-803 6:804-869 7:870-1528],Transcript_291
TRINITY_DN6000_c0_g1_i2 len=6249 path=[0:0-2325 1:2326-2410 2:2411-2653 3:2654-2729 4:2730-6248],Transcript_292
TRINITY_DN6065_c0_g1_i1 len=1284 path=[0:0-1283],Transcript_293
TRINITY_DN6034_c0_g1_i3 len=2092 path=[0:0-629 1:630-718 2:719-898 3:899-995 4:996-2091],Transcript_294
TRINITY_DN6002_c0_g1_i1 len=581 path=[0:0-580],Transcript_295
TRINITY_DN6078_c0_g1_i1 len=1711 path=[0:0-1049 2:1050-1710],Transcript_296
TRINITY_DN6013_c0_g1_i2 len=905 path=[0:0-640 1:641-716 2:717-904],Transcript_297
TRINITY_DN6076_c0_g1_i2 len=1524 path=[0:0-312 2:313-577 3:578-765 4:766-1523],Transcript_298
